,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Sensor from port 10,31.475,31.85,31.65,32.175,31.6,32.025,31.95,31.85,32.05,31.825,31.95,32.025,31.975,32.05,31.95,32.075,31.975,32.025,31.875,31.975,31.925,32.05,31.95,32.0,32.025,32.0,32.125,31.9,32.0,31.9,32.075,32.0,32.125,31.725,31.775,32.125,32.6,32.225,32.925,32.975,32.875,32.925,32.625,32.225,32.375,32.375,32.125,31.9,31.875,32.275,32.45,32.375,32.4,32.325,32.675,32.125,31.925,31.825,31.9,31.825,31.825,31.725,31.825,31.725,31.675,31.75,31.65,31.6,31.8,31.775,31.875,31.825,31.9,31.9,31.925,31.95,32.125,32.075,32.05,32.0,31.875,31.9,31.925,31.9,31.8,31.825,32.05,31.625,31.925,32.05,32.4,32.4,32.525,32.35,32.25,32.225,31.775,31.675,31.525,31.675
Sensor from port 11,32.075,32.15,32.35,32.1,32.05,31.975,32.0,32.1,31.975,31.9,32.025,31.95,32.125,31.925,32.05,32.025,32.15,32.05,31.95,31.85,31.775,31.775,32.025,32.1,32.175,31.8,31.6,32.025,32.25,32.4,32.1,32.2,32.35,32.425,32.15,31.775,31.8,31.875,31.9,31.625,31.775,31.95,32.025,31.95,31.9,31.775,31.7,31.8,31.775,31.9,31.975,32.05,32.05,32.0,32.2,31.9,32.05,31.875,31.2,31.325,31.175,31.35,31.575,31.75,32.0,31.925,31.6,31.725,31.4,31.575,31.7,31.825,31.875,31.85,31.95,32.025,31.775,31.575,31.675,31.45,31.325,31.525,32.15,32.35,32.425,32.65,32.4,32.175,32.175,32.075,32.25,31.95,31.925,31.525,31.5,31.35,31.325,31.3,31.2,31.2
Sensor from port 12,32.175,32.0,31.975,32.075,32.225,32.375,32.425,31.85,32.0,32.125,32.1,32.1,31.925,31.825,31.65,31.975,32.0,32.25,32.55,32.475,32.4,32.25,32.025,31.7,31.75,31.7,31.6,31.825,31.65,31.6,31.575,31.675,31.8,31.825,31.875,31.825,31.975,31.925,31.975,31.925,32.025,32.0,32.05,32.075,32.15,32.15,31.55,31.525,31.325,31.175,31.7,31.825,31.925,32.075,32.275,32.1,32.45,32.675,32.9,33.05,33.875,33.75,33.975,33.5,33.75,33.625,33.875,33.55,33.4,33.3,32.85,32.5,31.75,31.85,32.325,31.975,31.625,31.35,31.375,31.425,31.3,31.275,31.175,31.475,31.55,31.625,31.425,31.4,31.25,31.65,31.625,31.575,31.975,32.075,31.775,31.75,31.75,31.85,31.675,31.875
Sensor from port 13,32.725,32.175,32.05,31.925,32.1,32.025,32.1,31.925,31.925,31.8,31.65,31.9,32.075,32.05,31.675,31.175,31.35,31.55,31.3,30.975,30.7,30.775,30.75,30.55,31.175,30.9,31.275,31.275,31.3,31.375,30.925,30.9,31.125,31.375,31.125,31.3,31.325,31.4,31.425,31.475,31.5,31.45,31.65,31.85,31.95,31.975,31.925,31.775,31.85,31.725,31.625,31.475,31.25,31.25,31.525,31.825,31.85,31.875,31.9,32.075,32.125,31.8,31.75,31.8,31.8,31.775,31.675,31.45,31.675,31.625,31.575,31.725,31.9,31.9,32.125,32.075,32.125,32.2,32.075,32.475,32.55,32.9,32.55,32.675,32.3,31.975,31.7,31.55,31.775,31.525,31.825,31.6,32.225,32.9,32.65,33.025,32.9,33.0,32.8,32.725
